gene,Description
BCAR3,"BCAR3 adaptor protein, NSP family member"
DCLRE1A,DNA cross-link repair 1A
LOC105378460,uncharacterized LOC105378460
MIR762,microRNA 762
ARMC3,armadillo repeat containing 3
HNRNPF,heterogeneous nuclear ribonucleoprotein F
LOC102723724,uncharacterized LOC102723724
RBM26-AS1,RBM26 antisense RNA 1
ABHD3,"abhydrolase domain containing 3, phospholipase"
FHAD1-AS1,FHAD1 antisense RNA 1
RABL2A,"RAB, member of RAS oncogene family like 2A"
PLEKHO1,pleckstrin homology domain containing O1
DGKZ,diacylglycerol kinase zeta
HSF1,heat shock transcription factor 1
SPATC1L,spermatogenesis and centriole associated 1 like
TGFB2,transforming growth factor beta 2
SNORD81,"small nucleolar RNA, C/D box 81"
LOC100505715,uncharacterized LOC100505715
SH3PXD2A,SH3 and PX domains 2A
NODAL,nodal growth differentiation factor
ZNF337-AS1,ZNF337 antisense RNA 1
LOC101930420,DNA primase large subunit-like
ADAM9,ADAM metallopeptidase domain 9
LOC105371085,uncharacterized LOC105371085
CTSS,cathepsin S
KY,kyphoscoliosis peptidase
PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"
U2AF2,U2 small nuclear RNA auxiliary factor 2
PRPSAP1,phosphoribosyl pyrophosphate synthetase associated protein 1
TCTA,T cell leukemia translocation altered
KCP,kielin cysteine rich BMP regulator
TMEM229B,transmembrane protein 229B
ARID5A,AT-rich interaction domain 5A
TRIM26,tripartite motif containing 26
LOC105370114,
MAB21L1,mab-21 like 1
IRF2BPL,interferon regulatory factor 2 binding protein like
CHRM5,cholinergic receptor muscarinic 5
RPL23A,ribosomal protein L23a
SLC2A12,solute carrier family 2 member 12
TPD52L2,TPD52 like 2
LOC107984705,
KLRC1,killer cell lectin like receptor C1
CLTCL1,clathrin heavy chain like 1
GOLGA8M,golgin A8 family member M
LOC107985976,
BATF3,basic leucine zipper ATF-like transcription factor 3
KCNJ14,potassium inwardly rectifying channel subfamily J member 14
LOC107985967,
DMXL1,Dmx like 1
TTC3P1,tetratricopeptide repeat domain 3 pseudogene 1
BEND6,BEN domain containing 6
RMC1,regulator of MON1-CCZ1
APLP1,amyloid beta precursor like protein 1
SPATA18,spermatogenesis associated 18
TDRP,testis development related protein
ACLY,ATP citrate lyase
PDLIM3,PDZ and LIM domain 3
PDCD5,programmed cell death 5
NFKBIL1,NFKB inhibitor like 1
CLECL1P,"C-type lectin like 1, pseudogene"
MLPH,melanophilin
LOC102723722,uncharacterized LOC102723722
KCNE4,potassium voltage-gated channel subfamily E regulatory subunit 4
MYBBP1A,MYB binding protein 1a
STT3B,STT3 oligosaccharyltransferase complex catalytic subunit B
SCARNA5,small Cajal body-specific RNA 5
HMGXB3,HMG-box containing 3
PLCG1-AS1,PLCG1 antisense RNA 1
HNRNPA1,heterogeneous nuclear ribonucleoprotein A1
LOC105371756,uncharacterized LOC105371756
RAB8A,"RAB8A, member RAS oncogene family"
C6orf62,chromosome 6 open reading frame 62
CNPY4,canopy FGF signaling regulator 4
FAM226A,family with sequence similarity 226 member A
C1QC,complement C1q C chain
RPAP1,RNA polymerase II associated protein 1
BMPR1A,bone morphogenetic protein receptor type 1A
STMND1,stathmin domain containing 1
AHCYL1,adenosylhomocysteinase like 1
GLIS3,GLIS family zinc finger 3
LOC101929846,uncharacterized LOC101929846
HSDL1,hydroxysteroid dehydrogenase like 1
LINC03009,long intergenic non-protein coding RNA 3009
MMP23A,matrix metallopeptidase 23A (pseudogene)
C1GALT1C1L,C1GALT1 specific chaperone 1 like
FBXO21,F-box protein 21
CMPK1,cytidine/uridine monophosphate kinase 1
RWDD2B,RWD domain containing 2B
FHIP1A,FHF complex subunit HOOK interacting protein 1A
TASOR2,transcription activation suppressor family member 2
ZNF90,zinc finger protein 90
ACIN1,apoptotic chromatin condensation inducer 1
TSPAN1,tetraspanin 1
REEP2,receptor accessory protein 2
IGBP1,immunoglobulin binding protein 1
MANSC1,MANSC domain containing 1
RPL10,ribosomal protein L10
STAU2-AS1,STAU2 antisense RNA 1
JUND,"JunD proto-oncogene, AP-1 transcription factor subunit"
SLC2A14,solute carrier family 2 member 14
DEFB1,defensin beta 1
CARMIL2,capping protein regulator and myosin 1 linker 2
CBR4,carbonyl reductase 4
PAEP,progestagen associated endometrial protein
SYN1,synapsin I
PPP3CB-AS1,PPP3CB antisense RNA 1 (head to head)
HMG20B,high mobility group 20B
SLC39A5,solute carrier family 39 member 5
LOC107983996,replaced by ID 105371856
RAB7B,"RAB7B, member RAS oncogene family"
LOC105373154,
LOC112268021,
POM121L9P,"POM121 transmembrane nucleoporin like 9, pseudogene"
CHCHD5,coiled-coil-helix-coiled-coil-helix domain containing 5
LINC02067,long intergenic non-protein coding RNA 2067
LOC107985184,uncharacterized LOC107985184
FKBP6,FKBP prolyl isomerase family member 6 (inactive)
ABCA3,ATP binding cassette subfamily A member 3
RNA45SN1,"RNA, 45S pre-ribosomal N1"
NMRAL2P,"NmrA like redox sensor 2, pseudogene"
MLANA,melan-A
DDX39A,DExD-box helicase 39A
LOC101929174,uncharacterized LOC101929174
METTL2B,"methyltransferase 2B, methylcytidine"
ZNF252P,"zinc finger protein 252, pseudogene"
CMC4,C-X9-C motif containing 4
PANDAR,promoter of CDKN1A antisense DNA damage activated RNA
LRRC23,leucine rich repeat containing 23
SLC33A1,solute carrier family 33 member 1
NDUFB4,NADH:ubiquinone oxidoreductase subunit B4
THSD7A,thrombospondin type 1 domain containing 7A
PPIL2,peptidylprolyl isomerase like 2
EIF4A2,eukaryotic translation initiation factor 4A2
MAST3,microtubule associated serine/threonine kinase 3
IGLV5-52,immunoglobulin lambda variable 5-52
YARS2,tyrosyl-tRNA synthetase 2
ZNF624,zinc finger protein 624
EMC1-AS1,EMC1 antisense RNA 1
AJM1,apical junction component 1 homolog
LOC105369312,
ACBD7,acyl-CoA binding domain containing 7
ARV1,"ARV1 homolog, fatty acid homeostasis modulator"
LDLR,low density lipoprotein receptor
LOC107986925,uncharacterized LOC107986925
PPAN,peter pan homolog
LOC102724823,replaced by ID 2679
DDX43,DEAD-box helicase 43
ZASP,
LONRF3,LON peptidase N-terminal domain and ring finger 3
FICD,FIC domain protein adenylyltransferase
SPON1,spondin 1
HUWE1,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1"
GRPEL2,"GrpE like 2, mitochondrial"
MRPS27,mitochondrial ribosomal protein S27
POLE,"DNA polymerase epsilon, catalytic subunit"
LINC02896,long intergenic non-protein coding RNA 2896
LYG1,lysozyme g1
IBA57-DT,IBA57 divergent transcript
PLTP,phospholipid transfer protein
LOC101929767,uncharacterized LOC101929767
LOC101928126,uncharacterized LOC101928126
CA3-AS1,CA3 antisense RNA 1
CTRL,chymotrypsin like
LOC107985174,uncharacterized LOC107985174
GHDC,GH3 domain containing
LOC105374808,replaced by ID 10505
MTA1,metastasis associated 1
PPP2R2B,protein phosphatase 2 regulatory subunit Bbeta
ZNF205-AS1,ZNF205 antisense RNA 1
LOC105372270,uncharacterized LOC105372270
RPL19P12,ribosomal protein L19 pseudogene 12
TMTC2,transmembrane O-mannosyltransferase targeting cadherins 2
ULK4P3,ULK4 pseudogene 3
TTN,titin
UNC13B,unc-13 homolog B
LRCH2,leucine rich repeats and calponin homology domain containing 2
TUBA3D,tubulin alpha 3d
SNAI2,snail family transcriptional repressor 2
KCNJ3,potassium inwardly rectifying channel subfamily J member 3
HORMAD2-AS1,HORMAD2 and MTMR3 antisense RNA 1
SNRPA,small nuclear ribonucleoprotein polypeptide A
CELF1,CUGBP Elav-like family member 1
ERP29,endoplasmic reticulum protein 29
ZFAS1,ZNFX1 antisense RNA 1
INAFM1,InaF motif containing 1
LOC105373102,uncharacterized LOC105373102
ZKSCAN2,zinc finger with KRAB and SCAN domains 2
TSC2,TSC complex subunit 2
LOC105369746,uncharacterized LOC105369746
HAGLR,HOXD antisense growth-associated long non-coding RNA
LY6S,lymphocyte antigen 6 family member S
CACNA1C,calcium voltage-gated channel subunit alpha1 C
PCDHGA10,"protocadherin gamma subfamily A, 10"
WASHC4,WASH complex subunit 4
GNPDA1,glucosamine-6-phosphate deaminase 1
GCNT1,glucosaminyl (N-acetyl) transferase 1
LOC112268295,uncharacterized LOC112268295
MIR1247,microRNA 1247
RFPL1,ret finger protein like 1
CFAP97D2,CFAP97 domain containing 2
NLRC5,NLR family CARD domain containing 5
COMMD10,COMM domain containing 10
FAM216A,family with sequence similarity 216 member A
LOC101928415,uncharacterized LOC101928415
TRMO,tRNA methyltransferase O
GUSBP14,GUSB pseudogene 14
PLCH2,phospholipase C eta 2
FAM172A,family with sequence similarity 172 member A
MIR497HG,mir-497-195 cluster host gene
VPS54,VPS54 subunit of GARP complex
LOC105376037,uncharacterized LOC105376037
PCYT2,"phosphate cytidylyltransferase 2, ethanolamine"
UNC50,unc-50 inner nuclear membrane RNA binding protein
TTLL9,tubulin tyrosine ligase like 9
PKN2,protein kinase N2
FLJ32255,uncharacterized LOC643977
ZNF668,zinc finger protein 668
LINC03006,long intergenic non-protein coding RNA 3006
ATP5MF-PTCD1,ATP5MF-PTCD1 readthrough
PPIL3,peptidylprolyl isomerase like 3
RPL23AP7,ribosomal protein L23a pseudogene 7
ZNF816,zinc finger protein 816
CALCR,calcitonin receptor
MESD,mesoderm development LRP chaperone
HSPA4L,heat shock protein family A (Hsp70) member 4 like
SLC27A4,solute carrier family 27 member 4
L3MBTL1,L3MBTL histone methyl-lysine binding protein 1
TAP2,"transporter 2, ATP binding cassette subfamily B member"
AP1B1,adaptor related protein complex 1 subunit beta 1
PLAGL2,PLAG1 like zinc finger 2
MCOLN3,mucolipin TRP cation channel 3
KIF5B,kinesin family member 5B
PRPF38A,pre-mRNA processing factor 38A
SETD2,"SET domain containing 2, histone lysine methyltransferase"
PRDX1,peroxiredoxin 1
HOXB3,homeobox B3
LOC284950,uncharacterized LOC284950
MAPK8IP1,mitogen-activated protein kinase 8 interacting protein 1
THBS2-AS1,THBS2 antisense RNA 1
CCL13,C-C motif chemokine ligand 13
AHCTF1,AT-hook containing transcription factor 1
LOC102724965,uncharacterized LOC102724965
BRPF1,bromodomain and PHD finger containing 1
PDE4B,phosphodiesterase 4B
LOC107986717,uncharacterized LOC107986717
EPCAM-DT,EPCAM divergent transcript
FLJ13224,uncharacterized LOC79857
PUM1,pumilio RNA binding family member 1
ZNF536,zinc finger protein 536
MPI,mannose phosphate isomerase
PFDN4,prefoldin subunit 4
LOC105376951,uncharacterized LOC105376951
LOC107985236,uncharacterized LOC107985236
POLR2G,RNA polymerase II subunit G
XAF1,XIAP associated factor 1
ITLN1,intelectin 1
EGLN2,egl-9 family hypoxia inducible factor 2
LOC105375118,uncharacterized LOC105375118
CTAGE6,CTAGE family member 6
EIF2S2,eukaryotic translation initiation factor 2 subunit beta
GPBP1L1,GC-rich promoter binding protein 1 like 1
STX4,syntaxin 4
SEMA3F-AS1,SEMA3F antisense RNA 1
AMPD1,adenosine monophosphate deaminase 1
CHAC1,ChaC glutathione specific gamma-glutamylcyclotransferase 1
LARP7,"La ribonucleoprotein 7, transcriptional regulator"
RAB31,"RAB31, member RAS oncogene family"
YJU2,YJU2 splicing factor homolog
MR1,"major histocompatibility complex, class I-related"
LOC112268412,uncharacterized LOC112268412
TMSB15B-AS1,TMSB15B antisense RNA 1
ZNF658,zinc finger protein 658
CCDC181,coiled-coil domain containing 181
IGSF21,immunoglobin superfamily member 21
LOC100507250,uncharacterized LOC100507250
ANKRD18A,ankyrin repeat domain 18A
TECTA,tectorin alpha
RPL37,ribosomal protein L37
RASGRP1,RAS guanyl releasing protein 1
BCL2A1,BCL2 related protein A1
LRRC34,leucine rich repeat containing 34
ARMC1,armadillo repeat containing 1
MYL12A,myosin light chain 12A
RNF223,ring finger protein 223
LOC107985404,uncharacterized LOC107985404
KCNJ5-AS1,KCNJ5 antisense RNA 1
INTS4,integrator complex subunit 4
TCEAL8,transcription elongation factor A like 8
RALY,RALY heterogeneous nuclear ribonucleoprotein
LOC107986981,uncharacterized LOC107986981
TEX26,testis expressed 26
TMEM163,transmembrane protein 163
EPC1,enhancer of polycomb homolog 1
TMEM176A,transmembrane protein 176A
STAG1,stromal antigen 1
USP42,ubiquitin specific peptidase 42
CCNA1,cyclin A1
GPS2,G protein pathway suppressor 2
GADD45G,growth arrest and DNA damage inducible gamma
ECE1-AS1,ECE1 antisense RNA 1
TRMT61A,tRNA methyltransferase 61A
LOC105370027,uncharacterized LOC105370027
LOC101927366,replaced by ID 105373813
S100PBP,S100P binding protein
MT1H,metallothionein 1H
MAN1A2,mannosidase alpha class 1A member 2
TRDV1,T cell receptor delta variable 1
SLC37A1,solute carrier family 37 member 1
LOC107985948,uncharacterized LOC107985948
RPA2,replication protein A2
METTL15,methyltransferase like 15
TSPYL1,TSPY like 1
FAM239C,family with sequence similarity 239 member C
SFRP4,secreted frizzled related protein 4
LOC105376486,
LOC105369663,uncharacterized LOC105369663
MAVS,mitochondrial antiviral signaling protein
LINC02635,long intergenic non-protein coding RNA 2635
DENND10P1,DENND10 pseudogene 1
SCAF11,SR-related CTD associated factor 11
OCRL,OCRL inositol polyphosphate-5-phosphatase
KRT4,keratin 4
ABHD11-AS1,ABHD11 antisense RNA 1 (tail to tail)
LMLN-AS1,LMLN antisense RNA 1
CDC5L,cell division cycle 5 like
VAT1L,vesicle amine transport 1 like
LOC107986820,uncharacterized LOC107986820
KLHL32,kelch like family member 32
REELD1,reeler domain containing 1
CARNMT1,carnosine N-methyltransferase 1
NDUFA13,NADH:ubiquinone oxidoreductase subunit A13
LOC105378228,uncharacterized LOC105378228
GALT,galactose-1-phosphate uridylyltransferase
CEP76,centrosomal protein 76
ZBTB38,zinc finger and BTB domain containing 38
INTS15,integrator complex subunit 15
LOC105372275,
NELFE,negative elongation factor complex member E
AFDN,"afadin, adherens junction formation factor"
ABRAXAS1,"abraxas 1, BRCA1 A complex subunit"
CCNT2,cyclin T2
CYREN,cell cycle regulator of NHEJ
ARNT,aryl hydrocarbon receptor nuclear translocator
SIX5,SIX homeobox 5
LINC00997,long intergenic non-protein coding RNA 997
CEP250-AS1,CEP250 antisense RNA 1
ZNF398,zinc finger protein 398
LOC105375532,uncharacterized LOC105375532
SKOR1,SKI family transcriptional corepressor 1
CCR8,C-C motif chemokine receptor 8
ZNF548,zinc finger protein 548
SUV39H1,SUV39H1 histone lysine methyltransferase
LOC105370947,uncharacterized LOC105370947
IMPA2,inositol monophosphatase 2
MDH1,malate dehydrogenase 1
LOC107985561,uncharacterized LOC107985561
LINC00861,long intergenic non-protein coding RNA 861
GSTP1,glutathione S-transferase pi 1
IL12A-AS1,IL12A antisense RNA 1
ZNF526,zinc finger protein 526
MED4,mediator complex subunit 4
AGPAT4-IT1,AGPAT4 intronic transcript 1
RPL23,ribosomal protein L23
CTC-338M12.4,uncharacterized LOC101928649
PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
NPIPA1,nuclear pore complex interacting protein family member A1
CCDC121,coiled-coil domain containing 121
ERN1,endoplasmic reticulum to nucleus signaling 1
GATA6,GATA binding protein 6
MATN2,matrilin 2
JAKMIP3,Janus kinase and microtubule interacting protein 3
CAPRIN2,caprin family member 2
IGHMBP2,immunoglobulin mu DNA binding protein 2
LOC105372817,uncharacterized LOC105372817
ULBP2,UL16 binding protein 2
ABCD3,ATP binding cassette subfamily D member 3
STARD4-AS1,STARD4 antisense RNA 1
PIN4,"peptidylprolyl cis/trans isomerase, NIMA-interacting 4"
PRKD3,protein kinase D3
ZNF233,zinc finger protein 233
FAM47E,family with sequence similarity 47 member E
NAA10,"N-alpha-acetyltransferase 10, NatA catalytic subunit"
LOC100505585,replaced by ID 9138
DDX49,DEAD-box helicase 49
LOC105375131,uncharacterized LOC105375131
LOC388436,uncharacterized protein ENSP00000382042
NLGN3,neuroligin 3
GABRE,gamma-aminobutyric acid type A receptor subunit epsilon
LOC101929285,uncharacterized LOC101929285
CEBPZ,CCAAT enhancer binding protein zeta
TNKS1BP1,tankyrase 1 binding protein 1
GNA15,G protein subunit alpha 15
SDHAF1,succinate dehydrogenase complex assembly factor 1
LOC105371376,uncharacterized LOC105371376
KIF16B,kinesin family member 16B
LOC105375980,uncharacterized LOC105375980
MIR555,microRNA 555
ZNF799,zinc finger protein 799
PGC,progastricsin
ZNF707,zinc finger protein 707
ERC2,ELKS/RAB6-interacting/CAST family member 2
DERL2,derlin 2
XG,Xg glycoprotein (Xg blood group)
TNRC6C-AS1,replaced by ID 11322
GPR75-ASB3,GPR75-ASB3 readthrough
GBP5,guanylate binding protein 5
PLA2R1,phospholipase A2 receptor 1
LOC105379481,uncharacterized LOC105379481
KIF25,kinesin family member 25
LOC100506551,uncharacterized LOC100506551
CIZ1,CDKN1A interacting zinc finger protein 1
SOCS3,suppressor of cytokine signaling 3
ZNF26,zinc finger protein 26
SYTL3,synaptotagmin like 3
KLK13,kallikrein related peptidase 13
HTR7,5-hydroxytryptamine receptor 7
DCTN5,dynactin subunit 5
NDUFB2-AS1,NDUFB2 antisense RNA 1
XPO6,exportin 6
CREB3,cAMP responsive element binding protein 3
PANK2,pantothenate kinase 2
CALHM6,calcium homeostasis modulator family member 6
SEH1L,SEH1 like nucleoporin
RXRB,retinoid X receptor beta
ZBED5,zinc finger BED-type containing 5
LOC101927896,uncharacterized LOC101927896
DXO,decapping exoribonuclease
ABI2,abl interactor 2
GLDC,glycine decarboxylase
C18orf54,chromosome 18 open reading frame 54
FAHD2B,fumarylacetoacetate hydrolase domain containing 2B
CNBP,CCHC-type zinc finger nucleic acid binding protein
EFHC1,EF-hand domain containing 1
KRTAP5-AS1,KRTAP5-1/KRTAP5-2 antisense RNA 1
IGKV5-2,immunoglobulin kappa variable 5-2
LOC105369535,uncharacterized LOC105369535
THEMIS,thymocyte selection associated
RNA5-8SN4,"RNA, 5.8S ribosomal N4"
DCAKD,dephospho-CoA kinase domain containing
GRSF1,G-rich RNA sequence binding factor 1
GAN,gigaxonin
LINC02701,long intergenic non-protein coding RNA 2701
MRPL4,mitochondrial ribosomal protein L4
SDCBP2,syndecan binding protein 2
ALDH1L1,aldehyde dehydrogenase 1 family member L1
CHAF1A,chromatin assembly factor 1 subunit A
DSTNP2,DSTN pseudogene 2
LOC107984016,uncharacterized LOC107984016
TRIB2,tribbles pseudokinase 2
ZNF710,zinc finger protein 710
DPY19L2P1,DPY19L2 pseudogene 1
QTRT1,queuine tRNA-ribosyltransferase catalytic subunit 1
